ANNO;CODICE REGIONE;DENOMINAZIONE REGIONE;CODICE AZIENDA;DENOMINAZIONE AZIENDA;CODICE COMUNE;COMUNE;MASCHI;FEMMINE;TOTALE
2018;010;PIEMONTE             ;203;TO3;001002;AIRASCA                                 ;1.873;1.808;3.681
2018;010;PIEMONTE             ;203;TO3;001006;ALMESE                                  ;3.121;3.257;6.378
2018;010;PIEMONTE             ;203;TO3;001008;ALPIGNANO                               ;8.065;8.314;16.379
2018;010;PIEMONTE             ;203;TO3;001011;ANGROGNA                                ;435;428;863
2018;010;PIEMONTE             ;203;TO3;001013;AVIGLIANA                               ;6.130;6.433;12.563
2018;010;PIEMONTE             ;203;TO3;001022;BARDONECCHIA                            ;1.563;1.586;3.149
2018;010;PIEMONTE             ;203;TO3;001024;BEINASCO                                ;8.648;9.288;17.936
2018;010;PIEMONTE             ;203;TO3;001025;BIBIANA                                 ;1.729;1.734;3.463
2018;010;PIEMONTE             ;203;TO3;001026;BOBBIO PELLICE                          ;261;284;545
2018;010;PIEMONTE             ;203;TO3;001032;BORGONE SUSA                            ;1.111;1.098;2.209
2018;010;PIEMONTE             ;203;TO3;001035;BRICHERASIO                             ;2.269;2.347;4.616
2018;010;PIEMONTE             ;203;TO3;001038;BRUINO                                  ;4.312;4.384;8.696
2018;010;PIEMONTE             ;203;TO3;001040;BRUZOLO                                 ;761;765;1.526
2018;010;PIEMONTE             ;203;TO3;001041;BURIASCO                                ;670;681;1.351
2018;010;PIEMONTE             ;203;TO3;001044;BUSSOLENO                               ;2.832;3.109;5.941
2018;010;PIEMONTE             ;203;TO3;001045;BUTTIGLIERA ALTA                        ;3.125;3.282;6.407
2018;010;PIEMONTE             ;203;TO3;001049;CAMPIGLIONE-FENILE                      ;663;678;1.341
2018;010;PIEMONTE             ;203;TO3;001053;CANTALUPA                               ;1.278;1.342;2.620
2018;010;PIEMONTE             ;203;TO3;001055;CAPRIE                                  ;1.043;1.042;2.085
2018;010;PIEMONTE             ;203;TO3;001062;CASELETTE                               ;1.506;1.524;3.030
2018;010;PIEMONTE             ;203;TO3;001070;CAVOUR                                  ;2.715;2.777;5.492
2018;010;PIEMONTE             ;203;TO3;001071;CERCENASCO                              ;879;930;1.809
2018;010;PIEMONTE             ;203;TO3;001074;CESANA TORINESE                         ;507;436;943
2018;010;PIEMONTE             ;203;TO3;001076;CHIANOCCO                               ;796;816;1.612
2018;010;PIEMONTE             ;203;TO3;001080;CHIOMONTE                               ;442;445;887
2018;010;PIEMONTE             ;203;TO3;001081;CHIUSA DI SAN MICHELE                   ;819;803;1.622
2018;010;PIEMONTE             ;203;TO3;001087;CLAVIERE                                ;107;103;210
2018;010;PIEMONTE             ;203;TO3;001089;COAZZE                                  ;1.649;1.587;3.236
2018;010;PIEMONTE             ;203;TO3;001090;COLLEGNO                                ;23.785;25.901;49.686
2018;010;PIEMONTE             ;203;TO3;001093;CONDOVE                                 ;2.247;2.349;4.596
2018;010;PIEMONTE             ;203;TO3;001097;CUMIANA                                 ;3.938;3.957;7.895
2018;010;PIEMONTE             ;203;TO3;001099;DRUENTO                                 ;4.342;4.521;8.863
2018;010;PIEMONTE             ;203;TO3;001100;EXILLES                                 ;129;122;251
2018;010;PIEMONTE             ;203;TO3;001103;FENESTRELLE                             ;261;249;510
2018;010;PIEMONTE             ;203;TO3;001110;FROSSASCO                               ;1.394;1.472;2.866
2018;010;PIEMONTE             ;203;TO3;001111;GARZIGLIANA                             ;276;276;552
2018;010;PIEMONTE             ;203;TO3;001114;GIAGLIONE                               ;287;322;609
2018;010;PIEMONTE             ;203;TO3;001115;GIAVENO                                 ;7.988;8.398;16.386
2018;010;PIEMONTE             ;203;TO3;001116;GIVOLETTO                               ;1.993;1.946;3.939
2018;010;PIEMONTE             ;203;TO3;001117;GRAVERE                                 ;339;337;676
2018;010;PIEMONTE             ;203;TO3;001120;GRUGLIASCO                              ;18.007;19.585;37.592
2018;010;PIEMONTE             ;203;TO3;001122;INVERSO PINASCA                         ;355;347;702
2018;010;PIEMONTE             ;203;TO3;001126;LA CASSA                                ;911;892;1.803
2018;010;PIEMONTE             ;203;TO3;001139;LUSERNA SAN GIOVANNI                    ;3.475;3.773;7.248
2018;010;PIEMONTE             ;203;TO3;001140;LUSERNETTA                              ;253;243;496
2018;010;PIEMONTE             ;203;TO3;001142;MACELLO                                 ;589;580;1.169
2018;010;PIEMONTE             ;203;TO3;001145;MASSELLO                                ;29;25;54
2018;010;PIEMONTE             ;203;TO3;001147;MATTIE                                  ;333;336;669
2018;010;PIEMONTE             ;203;TO3;001149;MEANA DI SUSA                           ;400;388;788
2018;010;PIEMONTE             ;203;TO3;001154;MOMPANTERO                              ;302;347;649
2018;010;PIEMONTE             ;203;TO3;001157;MONCENISIO                              ;19;16;35
2018;010;PIEMONTE             ;203;TO3;001169;NOVALESA                                ;275;263;538
2018;010;PIEMONTE             ;203;TO3;001171;ORBASSANO                               ;11.315;12.037;23.352
2018;010;PIEMONTE             ;203;TO3;001173;OSASCO                                  ;564;589;1.153
2018;010;PIEMONTE             ;203;TO3;001175;OULX                                    ;1.707;1.664;3.371
2018;010;PIEMONTE             ;203;TO3;001184;PEROSA ARGENTINA                        ;1.514;1.657;3.171
2018;010;PIEMONTE             ;203;TO3;001186;PERRERO                                 ;349;296;645
2018;010;PIEMONTE             ;203;TO3;001189;PIANEZZA                                ;7.506;7.885;15.391
2018;010;PIEMONTE             ;203;TO3;001190;PINASCA                                 ;1.411;1.526;2.937
2018;010;PIEMONTE             ;203;TO3;001191;PINEROLO                                ;17.177;18.942;36.119
2018;010;PIEMONTE             ;203;TO3;001194;PIOSSASCO                               ;9.000;9.366;18.366
2018;010;PIEMONTE             ;203;TO3;001195;PISCINA                                 ;1.643;1.727;3.370
2018;010;PIEMONTE             ;203;TO3;001198;POMARETTO                               ;481;530;1.011
2018;010;PIEMONTE             ;203;TO3;001200;PORTE                                   ;524;510;1.034
2018;010;PIEMONTE             ;203;TO3;001201;PRAGELATO                               ;414;361;775
2018;010;PIEMONTE             ;203;TO3;001202;PRALI                                   ;128;111;239
2018;010;PIEMONTE             ;203;TO3;001204;PRAMOLLO                                ;117;107;224
2018;010;PIEMONTE             ;203;TO3;001205;PRAROSTINO                              ;641;642;1.283
2018;010;PIEMONTE             ;203;TO3;001211;REANO                                   ;861;913;1.774
2018;010;PIEMONTE             ;203;TO3;001214;RIVALTA DI TORINO                       ;9.914;10.154;20.068
2018;010;PIEMONTE             ;203;TO3;001219;RIVOLI                                  ;23.254;25.288;48.542
2018;010;PIEMONTE             ;203;TO3;001222;ROLETTO                                 ;1.025;1.009;2.034
2018;010;PIEMONTE             ;203;TO3;001226;RORA'                                   ;127;110;237
2018;010;PIEMONTE             ;203;TO3;001227;ROURE                                   ;391;406;797
2018;010;PIEMONTE             ;203;TO3;001228;ROSTA                                   ;2.427;2.530;4.957
2018;010;PIEMONTE             ;203;TO3;001229;RUBIANA                                 ;1.185;1.188;2.373
2018;010;PIEMONTE             ;203;TO3;001232;SALBERTRAND                             ;310;307;617
2018;010;PIEMONTE             ;203;TO3;001234;SALZA DI PINEROLO                       ;47;30;77
2018;010;PIEMONTE             ;203;TO3;001239;SAN DIDERO                              ;270;270;540
2018;010;PIEMONTE             ;203;TO3;001241;SANGANO                                 ;1.786;1.966;3.752
2018;010;PIEMONTE             ;203;TO3;001242;SAN GERMANO CHISONE                     ;885;876;1.761
